From	To
A5GFT5	NPEPL1
M0R9J6	LOC288978
Q641X9	Mrpl9
H0YAS8	CLU
K7EL96	PLIN3
D3ZHI6	Ctla2a
I3LFE8	PPA2
Q7Z794	KRT77
E9PFR3	PPP2R5D
P97888	Ppp2r2c
Q61555	Fbn2
Q03346	Pmpcb
J3KPQ8	GUCY1A1
V9GXJ1	Gm28036
Q13247	SRSF6
A0A5G2QVK7	RPS6KA1
Q9NR23	GDF3
A2ARJ0	Stam
E7EWD6	ASXL2
Q64625	Gpx6
Q9HAB3	SLC52A2
Q3UE92	Xpnpep1
Q9CYF5	Rcc1l
D3Z973	LOC102546963
Q9DBG9	Tax1bp3
F2Z456	Cyb5r3
K4DI65	Cirbp
D3ZXM4	Evi5l
I3LQS0	HNRNPK
F1RQ02	TRPT1
Q14241	ELOA
F5GYK2	STRN4
A2AAE1	Kiaa1109
D4AC65	Coa7
C9JDI3	TNNC1
K7ENJ0	RAD23A
C9J164	RAPH1
B0BNN4	Cfp
Q9UH03	SEPTIN3
Q8BI41	Synb
A0A0R4J029	Atg10
A0A096MK46	Timm10b
Q92879	CELF1
Q02078	MEF2A
A0A0B4J1S8	PI4KB
E0CXB2	Ipo9
D3ZS35	Mief2
Q5QD51	Akap12
F6YTG0	Echdc2
Q5M9F5	Dph6
F1S0L4	P3H4
B0QZ88	SMYD3
Q8WXA9	SREK1
Q8NI27	THOC2
G3V3M6	APEX1
C9IZ36	ALDH1L1
P55063	Hspa1l
F2Z5B6	TPM1
M0R0I5	KHSRP
A0A0G2K850	LOC100912481
F1RIV4	INTS1
F1RSK4	ERN1
G3V5V7	HNRNPC
Q5VVJ2	MYSM1
E9Q6P4	Tubgcp6
Q8R1H0	Hopx
Q9DC07	Nebl
Q9Y2C2	UST
Q9CWJ9	Atic
A0A087WP83	Hdlbp
D3ZH29	Gpx6
E9QL80	Lpgat1
D3K5L0	SDR16C5
O08911	Mapk12
G3V886	LOC108348078
A0A140T8X0	HLA-F
B2RSU7	Gcc2
Q9CRB9	Chchd3
E9Q604	Itgam
Q8BVT9	Grk3
Q8BGJ5	Ptbp1
D6RGV5	COX7A2
F6SDV2	TINAGL1
A0A287ADB5	CUTA
G3V8G1	Agtpbp1
E9QA47	Celf2
A0A287BLJ2	GCDH
A9JTY7	Sprr2b
Q4KLH7	Rad21
Q5HZA2	Spry2
F1RK57	GNB1L
Q8C4C9	Dnajb12
F1RPM5	MBD2
Q9BZ29	DOCK9
G3UY87	Stard10
D3Z722	Rps19
B5MDU6	LDAH
A0A1D5RLL4	Trrap
Q01082	SPTBN1
F1RTY6	PPID
I3L3Q7	C1QBP
P61758	VBP1
Q9HD42	CHMP1A
A3QM89	Rtn1
P19527	Nefl
Q9NP90	RAB9B
P51885	Lum
P52504	Ndufs6
D6R9P3	HNRNPAB
Q3ULL6	Upf3b
F1M581	Hpse
F1M820	Sorbs1
Q9Z1T6	Pikfyve
A6PW84	P3h1
C9JSP1	BCAP31
A0A288CFZ8	PLA2G7
Q6IUU3	Qsox1
Q3KR86	Immt
Q14520	HABP2
A2AJK6	Chd7
F6W8R9	Syne2
D3ZIF0	Zfp512
A0A140T8M4	Igkv8-19
F7AAE0	Plcd3
F1RMR6	HSPBP1
C9JJK5	ZYX
Q9Z1M8	Ik
A0A075B6A3	Igha
A0A087WQM2	Pik3r1
I3LH62	FXR1
A5GHK3	PFDN4
B2RZ27	Sh3bgrl3
Q78IS1	Tmed3
Q8VD62	Bles03
Q8C5Q4	Grsf1
Q5U2X0	Cdkn2aip
F6Q8D3	Atp11c
J3QT87	CRBN
D3ZQ74	Plod1
A0A0B4J1F9	Tchh
A0A1L1STP5	Fdx1
O95218	ZRANB2
F7EY92	Mbd3
Q62193	Rpa2
F1S567	VCAM1
O14545	TRAFD1
Q921G6	Lrch4
A0A0G2K1E7	Sptan1
E9Q688	Tnnt1
F1SRK6	HSP90B1
E9PEP7	ZFX
H0YKE7	CHP1
A0A5G2QHZ3	HDGF
Q4FJZ2	Kpna6
D3ZTB4	Vps11
F1SLY7	CNPY2
A0A096LP96	TXNRD2
Q12765	SCRN1
Q8K3X4	Irf2bpl
E9PKW0	IFT46
A0A087WW43	ITIH3
P40424	PBX1
F6UGU7	Pard3
Q8C6G8	Wdr26
D6RDI2	LUC7L3
F1RJ12	PPP1R3D
A0A481CJY0	HNRNPA2B1
Q9Y2R9	MRPS7
Q12778	FOXO1
A0A075B5K7	Igkv14-100
P21397	MAOA
D3Z5N5	Pikfyve
F8VPW9	RAB5B
A0A1W2P7V0	Gopc
P01877	IGHA2
F1LXQ1	Fbxo40
H3BN53	NDRG4
F1S331	ERI3
J3QLR0	MYH2
E9Q6C1	Osbpl9
J3QNW0	Dnmt1
Q9Y3R5	DOP1B
E9PNQ5	ABCB7
D3Z1S8	Rps5
G3V313	WARS1
Q9CWX4	Rpusd4
Q9BZE4	GTPBP4
D3ZS72	Prex1
D3Z3X7	Gpn1
Q5U2N3	Pitpnm1
Q8N584	TTC39C
A0A1B0GTM3	ASAH1
Q8BZR4	Acot8
J3QTS8	TPSAB1
P11021	HSPA5
F1SB86	PTPN12
Q9UNW9	NOVA2
Q5QNZ2	ATP5PB
H0Y3P5	NEB
D3ZW47	Trim16
F1S562	LRRC39
Q9P2M7	CGN
B2RZ66	Srp19
Q15800	MSMO1
Q62384	Zpr1
Q99JY0	Hadhb
P0DP06	IGHV4-30-4
Q9UPT9	USP22
P60487	Pdxp
A0A140LIF8	Irgm2
Q9GZU8	PSME3IP1
Q9NZK5	ADA2
P20789	Ntsr1
Q9R0L4	Cand2
I3LPE5	STX5
F7EZ89	Tbc1d15
F8WIV2	Serpinb6a
F8WI88	Pcnp
A0A087WWG1	SSH3
P05362	ICAM1
Q5U330	Gucy1a1
D3ZBC7	Dhrs13
Q91WF7	Fig4
P58660	Card10
A0A1B0GRD4	Tubgcp2
G3V846	Slc1a3
Q5ND29	Rilp
Q9CQP3	Chchd5
F1SN68	ORM1
Q921I9	Exosc4
B1AWT3	Rragd
P07333	CSF1R
Q8CBD0	Ndrg3
D4ADT5	Ddx58
Q6RVA9	CAV1
C9JCQ4	HSPD1
H0YFA9	GNS
O43286	B4GALT5
P55084	HADHB
A7L861	SQLE
Q6ZWN5	Rps9
Q9D1X9	Tmem50b
O08599	Stxbp1
B2RYG8	Elp6
Q14699	RFTN1
F1S4M9	RABIF
I3LNW9	DVL3
Q9JJ50	Hgs
D3Z7R6	Cnn2
E5RJN7	STAU2
A0A0R4J034	Pdxdc1
E9PMS5	KCTD21
P35213	Ywhab
Q8VEM8	Slc25a3
O95954	FTCD
A0A0R4J1N8	Rdh13
D3ZMS4	Arhgap26
B1AW91	Pacsin3
Q9NW15	ANO10
Q9UK55	SERPINA10
Q06546	GABPA
P0DMP2	SRGAP2B
P62861	FAU
A0A1L1SQG7	Ryr1
A2AL50	Agps
Q9JLV6	Pnkp
Q8IWB7	WDFY1
F6W2T4	Cfb
E5RJ41	CTNNA1
B3F0B7	CRABP1
F1RM61	ARHGAP33
Q3V300	Kif22
P63053	UBA52
Q6ZQE4	Nemp1
D6RI08	OCIAD1
Q9D8Y7	Tnfaip8l2
F7FHF3	Serpinf2
Q3TPX4	Exoc5
B7ZD29	Dab2ip
Q78YY6	Dnajc15
D4ABI7	Hacd3
Q9Y5Y0	FLVCR1
Q9CWI3	Bccip
P80314	Cct2
P0DUB6	AMY1A
Q6PI48	DARS2
F1SMC0	CAP1
P58137	Acot8
Q8BHL5	Elmo2
A0A087WP33	Atg9a
P24668	M6pr
G3UZR0	Ddah2
V9GYZ0	PANK2
O09106	Hdac1
A0A0A6YWR2	Ighg1
G3V8T4	Ddb1
Q9Y4P1	ATG4B
Q9BTA9	WAC
Q9NZU5	LMCD1
H3BP13	TRAPPC2L
P11627	L1cam
Q6AYB5	Srp54
F1SS71	GAS7
D3ZHI9	Ppp2r5e
Q9CXR1	Dhrs7
A2A4J3	Psme3
B1AUW9	Irak1
P20816	Cyp4a2
Q922B1	Macrod1
Q9H3P7	ACBD3
Q91V61	Sfxn3
A0A182DWI3	TXNRD1
P12830	CDH1
A0A1B0GUY0	ALDH7A1
Q8CFG8	C1sb
A0A087WSR2	Abhd14b
A0A0A6YXC3	Ighv1-52
Q6P9N8	Trak2
Q9BVL4	SELENOO
Q8BYY4	Ttc39b
Q64119	Myl6
A2RTY3	HEATR9
D3Z781	Etl4
P0C605	Prkg1
F2Z5D2	ACTR3
D3ZZ99	Add1
C9K0S6	TUBA8
Q8WN98	MIOX
P61600	Naa20
D3ZDP2	Mrpl58
A0A5G2R3C7	PRRC2B
Q9NPC4	A4GALT
A0A0G2K8H0	Caprin1
Q9Y3B7	MRPL11
P82808	Gfpt1
P10716	Clec4f
F1RMB1	PHYHIP
E9QLB2	Lyplal1
O88796	Rpp30
Q02413	DSG1
E9Q638	Adam9
A1L157	TSPAN11
Q6P572	Mtmr2
P97329	Kif20a
E9QL22	Tatdn3
Q45QJ4	Plcb3
D4A567	Bub3
A0A5G2QGJ8	HADHB
A0A5G2R850	ANXA7
M0QYN9	FCGRT
Q5F2C5	Acsl6
D3ZQY4	Fryl
D3ZX06	Ghdc
A0A0G2JEU2	Bmp3
Q9H3H3	C11orf68
P11169	SLC2A3
Q68FT9	Scly
D3ZXC6	Fbxw11
P34928	Apoc1
Q6PB44	Ptpn23
Q5U2R1	Pdss2
F8VSF8	RAB5C
F8WI30	Snx7
D4A261	Ctc1
H7BZK0	SLMAP
P50753	Tnnt2
Q63850	Nup62
F7F5J1	Tfeb
J3QSB4	RPL13
J3QLI0	APOH
I3LP32	PRPF38A
P0C1X8	Aak1
F1SKP8	KCNJ4
F1SPJ3	DNAJC14
Q7TSU1	Arfgef2
A0A286ZL51	RPL23A
Q9D7A8	Armc1
D3ZQ80	Smg8
A0A5G2R7U1	NDUFB5
A5HK05	Appbp2
A0A087WZ13	RAVER1
A0A0G2JFP1	Rilpl1
Q6VNB8	Wdfy3
D3ZFK8	Farp2
D3ZRN3	Actbl2
P09601	HMOX1
E9Q718	Plod2
Q99590	SCAF11
Q9Z321	Top3b
A0A0G2JFP5	Tdrkh
Q9BZQ8	NIBAN1
P59110	Senp1
F1RKW6	C12H17orf75
E5RHG2	DGLUCY
Q5FW52	Mlip
D3ZDX7	Mrpl48
F1RK92	NAGPA
F1RVG6	NEBL
F1RSA2	ATP2C1
W0S4B9	FER
E9PZI9	Cd200
O43657	TSPAN6
A0A5G2R1N1	AHCYL1
I3LPG6	GLIS2
F1SFI6	FETUB
D3ZY50	Atpaf1
O94808	GFPT2
Q3TRL2	Pdpk1
F1SBT6	KHSRP
Q9CQC8	Spg21
F5GY55	DDB1
Q86TB9	PATL1
A0A0A0MTG2	DYNC1I1
K7ES89	DUSP3
K7EJQ9	TMEM205
D4A4R1	Eml3
F1LP76	Elp1
F8VVM2	SLC25A3
A0A5G2QGE1	PCBP2
H3BJQ7	Prdx5
P55006	Rdh7
Q8K2X3	Stn1
Q5XI78	Ogdh
Q02779	MAP3K10
G3XA75	Mtx1
D3YXG2	Nagk
F1RMC7	ALG11
Q5ND28	Scarf1
K7GM43	SEPTIN5
Q99836	MYD88
A0A0R4J242	Chid1
D6RJJ8	Coq4
A0A1L1SSV6	Spg21
F7D3W5	Gm45837
Q9UKX5	ITGA11
Q3U213	Serac1
C9JDL2	TUBA4A
F8WFM2	Napb
Q7Z319	MKNK1
Q9H204	MED28
M0QYN0	MYDGF
E9PHZ3	FXYD6
Q9ERF3	Wdr61
B0R0D2	Phospho2
F1S062	OLA1
Q70JA7	CHSY3
F1SCR9	NBAS
Q9Z1Y4	Trip6
A0A0G2K2B6	Tpmt
Q9C0E2	XPO4
F1RPS7	C1H18orf25
P21571	Atp5pf
Q9CWV0	Malsu1
Q4V8I5	Arl6ip4
F1M943	Armc8
O62680	CD59
E9PIF1	CD81
C9JLS9	PSMC2
O88327	Ctnnal1
Q9BRX5	GINS3
A2AKN9	Mup2
O88325	Naglu
H3BQ53	TCF25
M0R1Y2	KDELR1
A0A286YFA2	PHGDH
I3L6F0	PAPOLA
Q5U203	Ube2f
Q7L5Y1	ENOSF1
Q91VH2	Snx9
B0QZX9	Dcakd
Q8IXI2	RHOT1
Q8WWZ7	ABCA5
E9PHG3	SMYD1
S4R305	DNAJC6
I3L1Y8	NMRAL1
I3LDL8	PRPF4
G3V5S1	L2HGDH
Q9CQV5	Mrps24
Q61823	Pdcd4
A0A288CFT8	VLDLR
A0A287A096	EIF2S1
D3ZBZ9	Ttc33
P32195	NPG2
O75351	VPS4B
F1SBL0	PLCB4
Q8C4G3	Atp9a
F6QA36	ACTR2
P35268	RPL22
H0YAF9	FST
E9QNG1	Itsn2
B2RYT0	Mrps21
F1M5F4	Urgcp
X6RM00	ERC1
I3LMG0	PIK3CA
J3KPF0	HECTD4
P24051	Rps27l
Q8N4A0	GALNT4
F2Z3N3	OLFML2B
O35437	Tcf21
D3YUX2	Mpdz
E9Q509	Pklr
P70290	Mpp1
F6R6P2	Sgce
D3YXP5	Tnni3
D3YUD2	Afdn
Q765I1	Uts2b
F1SA03	AKAP8L
P20112	SPARC
P48061	CXCL12
B2RS76	Cpb1
P30153	PPP2R1A
G3V4N7	CKB
D3Z8Q7	Ciao2b
Q9UI17	DMGDH
A0A1W2P7I5	Sgta
A2AB90	TAPBP
P31938	Map2k1
A0A075B5Q6	Ighv5-9-1
H0YN42	ANXA2
Q09137	Prkaa2
Q6P6T4	Eml2
O00592	PODXL
D3ZS97	Cd226
A0A0A0MS08	IGHG1
I3LSK5	GNB1
P09495	Tpm4
Q5M9G1	Hexim1
F1RM07	ARHGAP35
P09619	PDGFRB
Q3UR39	Chm
F8WBB2	DBNL
Q13765	NACA
Q9CQA3	Sdhb
A0A5G2QV42	AHCYL1
G3UX52	Pla2g6
D3ZPW7	Gpx8
F1RPZ0	COX8A
H3BS70	ECI1
F7ESD4	Rnf126
H3BLB8	Pon1
A0A0G2JSK1	Serpina3c
O43734	TRAF3IP2
F1S5N0	XPNPEP1
F1REZ6	CYLD
B1AXW5	Prdx1
H0YKW6	FRMD5
D4ABX7	LOC680875
Q9D0A3	Arpin
J3KRD5	CNDP2
P23928	Cryab
O43765	SGTA
Q4QQV4	Hars
E0CX39	Ggact
Q5T2H3	AIG1
P05208	Cela2a
P62909	Rps3
G3X963	Atad2
F1LQL9	Slit3
J3KR88	CORIN
E7EPC3	WNT9B
G3X972	Sec24c
F1LVR4	Camk1d
P22307	SCP2
A0A0G2K277	Eci3
Q9P016	THYN1
A0A087WYS9	SURF1
B7WNN4	SIRT3
Q61878	Prg2
A0A5G2QQA2	S100A11
E9PWH6	Heatr3
F1STR6	NUDC
A0A0G2JSZ9	Ccs
D3ZJW6	rCG_21066
F1RYS1	MRPL1
Q3UID4	Prmt2
Q3TYA4	Stxbp6
Q9WVA3	Bub3
O94911	ABCA8
Q3UEE2	Gss
Q2VTP6	FKBP1A
C9JXI5	TMEM198
A0A1B0GWF2	STXBP1
Q8R5F3	Oard1
Q3TBU7	Agfg2
P38060	Hmgcl
Q922X9	Prmt7
A0A287A7F6	PHB2
K7EJ70	PRKCSH
D6RF87	ACSF2
E9PSJ1	St3gal1
Q80ZM7	Gtf2a2
Q9ESW4	Agk
A0A0G2K7W8	Hint3
A0A0G2JK44	BRD2
M0RBJ7	C3
O15131	KPNA5
D3ZRM0	Dusp27
Q6PCT9	Psmd6
D3ZY86	Tango2
Q5XIK2	Tmx2
Q7TP48	Apmap
P08134	RHOC
G3V2N6	TUBB3
P97846	Cntnap1
Q5PQP2	Ebag9
E7EXA3	NIF3L1
E7EWX6	SIRT2
Q8N8Q8	COX18
B1AWC8	Pde4b
Q9Z2H2	Rgs6
P62334	Psmc6
F1RNB8	SPTA1
D3ZG37	Ppp6r1
Q5U2Z4	Nfkb2
Q9Y3E1	HDGFL3
I3LH24	VPS35L
Q9WU78	Pdcd6ip
F1RL77	CSF1R
F8VYE8	PPP1CC
D6RBD0	RACK1
A0A287AHD5	NUCB1
P97541	Hspb6
F1SBE5	PTGIS
F1SGT3	PDHX
M0R8T0	RGD1564801
Q92738	USP6NL
D6RCX9	Fgf1
P82471	Gnaq
O00567	NOP56
A6NGQ3	OBSCN
P54852	EMP3
A0A1B0GRB5	Nup98
Q5FVQ4	Mlec
Q14517	FAT1
C9JRT3	CFB
B2RYT7	Hdhd3
Q5QPA5	MRPS18A
O15355	PPM1G
B4DQU5	RAB11A
A0A0J9YUK7	Ociad1
A0A0G2KAI8	Drg2
A2AT91	Plcb4
F1S4D5	KYAT3
E7EPW4	TNNT2
E5RIP1	RPS20
A0A0A6YWV1	Ankrd39
P62750	RPL23A
P97297	Adm
E5RFG3	CTNNA1
Q8TCE6	DENND10
A0A087WR50	Fn1
D3ZTN0	Prkdc
Q92599	SEPTIN8
D3ZRU3	Oard1
Q9P232	CNTN3
Q9Y4P8	WIPI2
A2A8U2	Tmem201
F1LT78	Antxr2
Q6AYK3	Isyna1
Q5BK64	Rpp40
F1RI15	HSPA4
Q07984	Ssr4
F1RFG9	ASCC2
F1SJT9	ZPR1
A0A0A6YW36	Rgs7
I3LHZ3	ITPR1
Q5TCZ1	SH3PXD2A
D3ZDK7	Pgp
G3V607	Chm
D4A5A6	Polr2a
K7ESF5	SLC44A2
Q3TZT4	Inpp5a
Q924L1	Letmd1
A2RUW1	Tollip
F1SC53	NCOA5
F1RGT2	EGLN1
P43883	Plin2
Q9Z2A7	Dgat1
E5RIT6	RPL26L1
P24268	Ctsd
F2Z5J3	CNOT7
E9PWD6	Slc29a1
I3LTY2	DOCK9
O60296	TRAK2
P04636	Mdh2
A9C497	Mup19
G5E8N7	Pnkp
O08688	Capn5
P50441	GATM
A0A0U1RNT4	1600014C10Rik
H3BN97	NDRG4
G3V2I4	ITGA7
A0A0G2QC39	Txlng
O95782	AP2A1
H7C0X4	ALG3
P67778	Phb1
Q0D2L6	Rragc
P21462	FPR1
Q6GU68	Islr
F1RHS4	CASZ1
I3L7C4	ZNF638
O70172	Pip4k2a
Q9H477	RBKS
A0A5K1V146	STYXL2
D3YXN7	Tspan9
Q9ES03	Tbx20
E9Q287	Adamts3
Z4YLT8	Rnf11
A0A087WRC2	Gm49416
D3ZUI9	Ndufaf8
Q15119	PDK2
A0A0H2UHC8	Ublcp1
A0A2C9F3C8	PECAM1
Q9D6I7	Dipk1a
E5RFM2	CETN3
F1LQI6	Zer1
A0A2R8Y4K2	CRYL1
F6VR53	Mcf2l
P26040	Ezr
J3QN31	Adssl1
A6NNS2	DHRS7C
A2AF65	Dock11
F8WID5	Tpm1
F1RQ47	IDS
Q13563	PKD2
G3V2A2	NFKBIA
Q9Z1M2	Irgm2
A0A1L1STG9	Dpp8
Q9H2P0	ADNP
E9PSV5	Psat1
F1S836	SH3PXD2A
K7EJ40	PRKAR1A
A0A5G2R3C0	NDUFA10
P36968	GPX4
Q8K2T8	Paf1
A0A0R4J131	Btd
F1S9K3	BPNT1
Q0VGK2	Ttc39c
Q6TXG4	Dhx8
