From	To
F1ST28	UniRef90_F1ST28
F2Z5W6	UniRef90_Q6IAA8
A0A5G2RL03	UniRef90_A0A5G2RL03
Q9UIJ7	UniRef90_Q9UIJ7
B7ZBP9	UniRef90_B7ZBP9
F1SQ14	UniRef90_F1SQ14
F1RFY1	UniRef90_A0A8D2CV46
Q925G1	UniRef90_Q3UMU9
A0A087X0S5	UniRef90_A0A087X0S5
F1SV35	UniRef90_F1SV35
P62244	UniRef90_P62244
J3QQZ4	UniRef90_A0A2I3LMT0
M0R0Y2	UniRef90_M0R0Y2
Q5PQN9	UniRef90_Q8K2M0
P62314	UniRef90_P62314
P05106	UniRef90_P05106
B5MC74	UniRef90_P58658
P05062	UniRef90_P05062
I3LBE6	UniRef90_A0A2Y9LQ65
F5GYT7	UniRef90_F5GYT7
G3V3J0	UniRef90_Q96AC1
F1RLS1	UniRef90_Q69YQ0-2
P56199	UniRef90_P56199
A2A274	UniRef90_P16276
Q63942	UniRef90_Q63942
M0R0I5	UniRef90_M0R0I5
F1RQ20	UniRef90_A0A4X1SYL9
F1SN02	UniRef90_A0A5F4DB29
Q5XFV8	UniRef90_Q8BH51
D4A3V3	UniRef90_Q8BZ20
Q8R191	UniRef90_Q8R191
F1S5T4	UniRef90_A0A287BEW9
P08648	UniRef90_P08648
F1LRK9	UniRef90_Q8VI02
F1S0C0	UniRef90_H0V0U3
F1SDY8	UniRef90_F1SDY8
X6RLR1	UniRef90_X6RLR1
J3KPY9	UniRef90_P58335
P29400	UniRef90_P29400
G5E9W7	UniRef90_P82650
Q9JMC1	UniRef90_Q9JMC1
Q6RW13	UniRef90_Q6RW13
O43865	UniRef90_O43865
Q9DAT5	UniRef90_Q9DAT5
E5RJH0	UniRef90_A0A2I3HGA6
D3ZDW9	UniRef90_Q18PE0
Q15365	UniRef90_Q15365
C9J3D7	UniRef90_Q9UKG9
I3LN54	UniRef90_A0A4W2HX07
A0A087WX67	UniRef90_A0A087WW61
F1S1U9	UniRef90_Q5U430
F1SMA3	UniRef90_F1SMA3
P56382	UniRef90_P29418
Q925A3	UniRef90_P15655
Q5EBP8	UniRef90_P04256
Q7Z6J6	UniRef90_Q7Z6J6
P15153	UniRef90_P15153
F1SMR3	UniRef90_A0A2I3HI56
F1S8A5	UniRef90_A0A4X1SEN9
H7C2N1	UniRef90_H7C2N1
P51150	UniRef90_P51149
Q9JMC3	UniRef90_Q9JMC3
B2RYU0	UniRef90_B2RYU0
Q9QX75	UniRef90_Q9QX75
Q792I0	UniRef90_Q9NUP9
P00564	UniRef90_P07310
P14555	UniRef90_P14555
P28352	UniRef90_P28352
H7C4F6	UniRef90_A0A2K5NJH9
Q8K441	UniRef90_Q8K441
Q9Y2D0	UniRef90_Q9Y2D0
Q9Y5Q5	UniRef90_Q9Y5Q5
H0YAF5	UniRef90_H0YAF5
Q8VH51	UniRef90_Q14498
P62266	UniRef90_P62266
G3V5I2	UniRef90_G3V5I2
P54652	UniRef90_P54652
A0A287BTB8	UniRef90_A0A4X1SQS6
F1REX9	UniRef90_A0A4X1U864
P70398	UniRef90_Q93008
F1M9Y9	UniRef90_S4R1A1
Q16890	UniRef90_Q16890
P10860	UniRef90_P00366
O09174	UniRef90_O09174
F2Z5V1	UniRef90_Q9Y2S6
O15143	UniRef90_O15143
I3L8Q5	UniRef90_A0A4X1UM42
Q3B8N8	UniRef90_Q3B8N8
Q29329	UniRef90_Q29329
F2Z3D9	UniRef90_A0A6J3FYW9
Q9ERB0	UniRef90_Q9Z2P6
A0A0U1RRH3	UniRef90_A0A0U1RRH3
Q5T9Q5	UniRef90_Q5T9Q5
A0A1B0GV23	UniRef90_P07339
D3ZQJ3	UniRef90_D3ZQJ3
F1RFY6	UniRef90_O43896
E9QA15	UniRef90_E9QA15
Q9Y512	UniRef90_Q9Y512
A0FGR8	UniRef90_A0FGR8
Q9UNF0	UniRef90_Q9UNF0
C9IYS1	UniRef90_C9IYS1
O08815	UniRef90_O08815
B5DFC3	UniRef90_Q01405
F2Z5F1	UniRef90_Q9Y3B4
F1SJG2	UniRef90_F1SJG2
F1SMT1	UniRef90_A0A8D1TXY6
Q6UXH1	UniRef90_Q6UXH1
Q63488	UniRef90_Q63488
Q96IJ6	UniRef90_Q96IJ6
F1S018	UniRef90_F1S018
Q4KLZ6	UniRef90_Q4KLZ6
F1SQC6	UniRef90_A0A286XK15
H7C5C9	UniRef90_H7C5C9
F1ST49	UniRef90_A0A0P6J9G6
P14136	UniRef90_P14136
Q8BTS4	UniRef90_P70582
P11216	UniRef90_P11216
G5E8F8	UniRef90_O70309
F1STQ3	UniRef90_P19634
P97813	UniRef90_P97813
F1SL43	UniRef90_F1SL43
C9J6N5	UniRef90_A0A1C7CYX8
O95340	UniRef90_O95340
P08461	UniRef90_P08461
E9PMA0	UniRef90_O95831
O35683	UniRef90_O35683
D6RDP1	UniRef90_Q8C1B7
Q6NZI2	UniRef90_Q6NZI2
I3L3P7	UniRef90_Q96Q15
D4ACA7	UniRef90_D4ACA7
Q15147	UniRef90_Q15147
F1S280	UniRef90_Q9R1E6
B2RYS8	UniRef90_B2RYS8
Q9Z1M4	UniRef90_Q9UBS0
P35280	UniRef90_P55258
Q7TQ90	UniRef90_Q7TQ90
E9Q8K8	UniRef90_Q6ZPZ3
P85970	UniRef90_P85970
Q9CPY7	UniRef90_P00727
Q6NUQ1	UniRef90_Q6NUQ1
O95453	UniRef90_O95453
Q9R0P9	UniRef90_Q9R0P9
F8W0P7	UniRef90_F8W0P7
Q99N94	UniRef90_Q99N94
Q8VHE9	UniRef90_Q64FW2
Q9H1Z4	UniRef90_Q9H1Z4
Q8R5H8	UniRef90_Q9NVQ4
F1LTR1	UniRef90_F1LTR1
I3L7N6	UniRef90_P86790
E7EX59	UniRef90_P05166
Q9JKX6	UniRef90_Q9JKX6
Q99N87	UniRef90_Q99N87
O88531	UniRef90_O88531
P49720	UniRef90_P49720
B8JK39	UniRef90_B8JK39
O08800	UniRef90_O08800
G5E9J0	UniRef90_G5E9J0
D4A227	UniRef90_D4A227
Q8IY17	UniRef90_Q8IY17
P20774	UniRef90_P20774
B2GV73	UniRef90_B2GV73
A0A087X178	UniRef90_A0A087X178
Q9NRY2	UniRef90_Q9NRY2
P08574	UniRef90_P08574
Q9WTK5	UniRef90_Q9WTK5
Q0VGY8	UniRef90_Q6F6B3
Q562R1	UniRef90_Q562R1
F1SLY7	UniRef90_A0JN30
P63158	UniRef90_P63158
I3LBZ2	UniRef90_A0A8D1NC65
Q6PDM2	UniRef90_Q07955
I3LE16	UniRef90_A0A8D0NY04
K7EKV4	UniRef90_K7EKV4
U3KQF2	UniRef90_P18085
Q8BPM2	UniRef90_Q8BPM2
Q91WE2	UniRef90_Q91WE2
D4A7H9	UniRef90_Q8R1T1
P12035	UniRef90_P12035
G3V1W4	UniRef90_G3V1W4
H0YAQ2	UniRef90_A0A286XP89
F2Z2R0	UniRef90_F2Z2R0
Q8BPB0	UniRef90_Q7L9L4
D3ZI99	UniRef90_O43395
F1RNH0	UniRef90_Q96N66
C9K0G7	UniRef90_Q02338
F1SQS9	UniRef90_F1N5D1
F1STU0	UniRef90_M3YWG0
C9JCA5	UniRef90_P45378-7
F1RFA8	UniRef90_A0A4X1VUI0
Q9NUJ1	UniRef90_Q9NUJ1
J3QSY6	UniRef90_A0A2I3FQ36
E7ETY7	UniRef90_E7ETY7
A0A287BRY0	UniRef90_A0A6P3YMD8
G3V2F2	UniRef90_P23381
O75506	UniRef90_O75506
P49443	UniRef90_P49443
A0A5K1VTJ9	UniRef90_A0A3Q1N3K3
Q86X10	UniRef90_Q86X10
A0A087WV75	UniRef90_A0A087WV75
F1RM07	UniRef90_P83509
F1SNQ9	UniRef90_A0A4X1U6X7
M0RD63	UniRef90_Q9CT10
Q9H2K0	UniRef90_Q9H2K0
P35624	UniRef90_P35624
F1RUL1	UniRef90_F1RUL1
I3L703	UniRef90_A0A5G2QJ91
Q505J6	UniRef90_Q9DB41
P59222	UniRef90_P59222
P43883	UniRef90_P43883
Q925E7	UniRef90_Q66LE6
Q4KM65	UniRef90_Q9CQF3
I3LP41	UniRef90_P00346
Q60929	UniRef90_Q02078-2
A0A1X7SBR3	UniRef90_A0A2K5VCN1
F5H252	UniRef90_F5H252
D3ZXP7	UniRef90_Q99PD4
G3V828	UniRef90_Q9DAU1
F1SNH3	UniRef90_F1SNH3
Q9UJT2	UniRef90_Q9UJT2
A0A5S6FZC1	UniRef90_A0A4X1SJF4
G3V7Q4	UniRef90_G3V7Q4
Q80W83	UniRef90_Q80W83
B2CCY7	UniRef90_Q9UMS4
Q8K007	UniRef90_Q8K007
P63245	UniRef90_P63244
C9J363	UniRef90_Q9BUL8
B9A041	UniRef90_H9F8R5
P18424	UniRef90_P16301
D3ZGX8	UniRef90_Q9ESU6
G5E8R8	UniRef90_Q6P5G6
D4A6H8	UniRef90_G3U870
O43272	UniRef90_O43272
Q64449	UniRef90_Q64449
Q8K1T1	UniRef90_Q8K1T1
Q62095	UniRef90_Q62095
C9JKI3	UniRef90_A0A024R757
I3LK23	UniRef90_H0X4R4
A0A075B780	UniRef90_A0A024R7F7
A0A2C9F3H7	UniRef90_P22411
H0Y6Y8	UniRef90_H0Y6Y8
Q8R502	UniRef90_Q8R502
Q6P1H6	UniRef90_Q6P1H6
O75347	UniRef90_O75347
F1S2R7	UniRef90_P49770
A2A376	UniRef90_O95786
O00566	UniRef90_O00566
F1M3B3	UniRef90_Q8WWQ0
F1SKD6	UniRef90_F1SKD6
Q64524	UniRef90_Q64524
F1S750	UniRef90_A0A2I2ZHV2
P07942	UniRef90_P07942
F8WIY7	UniRef90_F8WIY7
G3V6G5	UniRef90_Q9QXE7
F2Z2W8	UniRef90_F2Z2W8
B4E173	UniRef90_Q8IUK5
Q9NVI7	UniRef90_Q9NVI7
I3LC92	UniRef90_Q5RAT4
P45877	UniRef90_P45877
A0A5S8KR21	UniRef90_A0A096MSP0
Q80Y56	UniRef90_Q80Y56
F8VRD8	UniRef90_F8VRD8
Q01085	UniRef90_Q01085
Q9R1P0	UniRef90_Q9R1P0
Q5T7C4	UniRef90_A0A2K5USK5
B5TY33	UniRef90_B5TY33
A0A5G2QTH6	UniRef90_Q6Q2J0
Q29371	UniRef90_Q2QD07
P51593	UniRef90_Q7Z6Z7
Q99LC3	UniRef90_Q99LC3
G3V195	UniRef90_G3V195
P02760	UniRef90_P02760
Q13049	UniRef90_Q13049
A0A0G2K6X6	UniRef90_O08679
O14681	UniRef90_O14681
I3LJ89	UniRef90_P48751
H0YJ46	UniRef90_H0YJ46
Q64324	UniRef90_Q64324
Q6AY87	UniRef90_Q6AY87
A0A5G2QI52	UniRef90_A0A5G2QI52
D3ZJU5	UniRef90_D3ZJU5
Q6Q2C2	UniRef90_Q6Q2C2
P82909	UniRef90_P82909
Q07717	UniRef90_Q07717
D3ZW47	UniRef90_Q99PP9
F5H2I0	UniRef90_A0A671DPE9
Q5SX90	UniRef90_Q5SX90
B7ZCJ0	UniRef90_B7ZCJ0
O70468	UniRef90_O70468
Q96Q42	UniRef90_Q96Q42
Q9Z1B2	UniRef90_Q9Z1B2
Q8BPB5	UniRef90_Q8BPB5
P37802	UniRef90_P37802
P51610	UniRef90_P51610
Q9Y375	UniRef90_Q9Y375
A0A0B4J210	UniRef90_Q6PKG0
Q99J45	UniRef90_Q99J45
Q96QF0	UniRef90_Q96QF0
A0A0A0MQD7	UniRef90_A3KGS3
F1RJ43	UniRef90_Q1WIM3
Q9Y485	UniRef90_Q9Y485
P45479	UniRef90_O88531
Q96HP4	UniRef90_Q96HP4
D4A7U1	UniRef90_Q62523
O75947	UniRef90_O75947
K7GSL3	UniRef90_O15294
A0A087X1N8	UniRef90_A0A2I3HZC5
Q9UBH6	UniRef90_Q9UBH6
O95757	UniRef90_O95757
J3QRC4	UniRef90_J3QRC4
Q5U316	UniRef90_Q15286
F1SFG4	UniRef90_A0A480VR97
A0A5S6GJG2	UniRef90_A0A2F0BKA5
A0A1W2PQD4	UniRef90_A0A1W2PQD4
P31977	UniRef90_P31977
P00738	UniRef90_P00738
P61952	UniRef90_P61952
D3ZKT0	UniRef90_D3ZKT0
Q5JXI8	UniRef90_H0UZW4
H0YL94	UniRef90_H0YL94
E5RGC8	UniRef90_Q96DB5
Q8IWE2	UniRef90_Q8IWE2
Q9JKS4	UniRef90_Q9JKS4
O15127	UniRef90_O15127
Q3THG9	UniRef90_Q3THG9
A2RRP1	UniRef90_A2RRP1
F1M3D3	UniRef90_Q62826
G3V8B4	UniRef90_Q8TDN6
F5GY55	UniRef90_H9GPM9
A0A087WVS7	UniRef90_Q15735
Q3UJU9	UniRef90_Q3UJU9
A0A5S6GHG5	UniRef90_A0A8D1TFF5
C9K028	UniRef90_P22392
P62850	UniRef90_P62847
Q9UBG0	UniRef90_Q9UBG0
A0A480XE17	UniRef90_F7BXF9
P48410	UniRef90_P33897
I3LEI8	UniRef90_I3LEI8
Q3U2K8	UniRef90_Q80WC7
B4DGK6	UniRef90_B4DGK6
J3QLE5	UniRef90_A0A836CWF4
C9JXG8	UniRef90_A0A3Q2GZK6
F1S341	UniRef90_Q9R1V6-7
Q8CGN5	UniRef90_Q8CGN5
I3L239	UniRef90_I3L239
Q96ME7	UniRef90_Q96ME7
D6RBF6	UniRef90_D6RBF6
Q5TFE4	UniRef90_Q5TFE4
Q05469	UniRef90_Q05469
X6R390	UniRef90_A0A2I2UY66
Q5SRQ6	UniRef90_Q5SRQ6
G3X9K3	UniRef90_D4A631
Q5JSH3	UniRef90_Q5JSH3
P05027	UniRef90_P05027
M0R7Z9	UniRef90_M0R7Z9
D3ZUB0	UniRef90_Q05186
H0YJF8	UniRef90_H0YJF8
O00214	UniRef90_O00214
M0R7D1	UniRef90_Q05CL8
P20788	UniRef90_Q9CR68
Q63028	UniRef90_Q9QYC0
Q99489	UniRef90_Q99489
O14548	UniRef90_O14548
Q3ZAV2	UniRef90_Q3ZAV2
A0A287BM29	UniRef90_O46409
Q8K386	UniRef90_P35289
Q7TSI3	UniRef90_Q7TSI3
H0Y9V9	UniRef90_H0Y9V9
Q6IA86	UniRef90_Q6IA86
F8WG88	UniRef90_F8WG88
M0QZY5	UniRef90_P13805
I3LK50	UniRef90_I3MCN2
K7ERF1	UniRef90_K7ERF1
Q9CQQ8	UniRef90_Q9CQQ8
O60830	UniRef90_O60830
P61163	UniRef90_P61163
P62984	UniRef90_P62987
H3BVB2	UniRef90_H3BVB2
Q8C3X2	UniRef90_Q8C3X2
F1M6W1	UniRef90_P25093
A0A480X841	UniRef90_Q6PDZ3
I3L3J9	UniRef90_A0A2K6Q9S4
G3V8T2	UniRef90_P52952
A0A217FL50	UniRef90_A0A1Y7VKF5
Q6AYM8	UniRef90_O43292
A0A5G2QCJ9	UniRef90_A0A5G2QCJ9
E5RFZ6	UniRef90_E5RGN8
F6Q6B4	UniRef90_A0A4X1SLX9
B9EHK9	UniRef90_Q9QY80
I1E4Y6	UniRef90_Q6Y7W6
Q9DCH4	UniRef90_Q9DCH4
F1S2I8	UniRef90_A0A096NE34
Q9BQP7	UniRef90_Q9BQP7
O95816	UniRef90_O95816
Q9Z0K8	UniRef90_Q9Z0K8
P00367	UniRef90_P00367
P09527	UniRef90_P09527
F1S8P1	UniRef90_F1S8P1
Q91VW5	UniRef90_Q91VW5
Q923B1	UniRef90_Q923B1
Q5BJX0	UniRef90_Q5BJX0
Q5H937	UniRef90_Q5H937
G3XAH0	UniRef90_Q9Z2Q6
B1H241	UniRef90_Q3TIR3
I3LC13	UniRef90_P28827-2
Q95334	UniRef90_Q95334
E7EUY6	UniRef90_Q14155-3
D3ZAS8	UniRef90_D3ZAS8
P61107	UniRef90_Q52NJ6
I3LIT7	UniRef90_A0A4X1U0R2
Q9H3M7	UniRef90_Q9H3M7
F1RUK3	UniRef90_F1RUK3
O88637	UniRef90_Q922E4
A0A0G2K3V2	UniRef90_Q8CG76
Q08752	UniRef90_Q08752
Q9UK59	UniRef90_Q9UK59
Q9D6J6	UniRef90_Q9D6J6
Q9Z2D0	UniRef90_Q9Z2D0
E9PX09	UniRef90_Q6ZPS2
A0A0G2KA61	UniRef90_A0A2I3T2R7
F1SRC8	UniRef90_A0A4X1TEJ3
A0A0G2K0Z7	UniRef90_P43304
O75095	UniRef90_O75095
Q14980	UniRef90_Q14980
Q06185	UniRef90_P29419
Q9ULI3	UniRef90_Q9ULI3
Q78JE5	UniRef90_Q8NEZ5
C9JEJ2	UniRef90_M3X9J4
I3LDB1	UniRef90_I3LDB1
A0A0G2JUV4	UniRef90_Q99N96
F1RIP1	UniRef90_A0A8D0UKD8
Q6PGH1	UniRef90_P41223
Q99MP8	UniRef90_Q99MP8
A0A087WT71	UniRef90_Q13402-4
P62743	UniRef90_P53680
F1S7E0	UniRef90_Q28104
D4A9R2	UniRef90_D4A9R2
E5RIF1	UniRef90_E5RIF1
Q6DGG1	UniRef90_Q6DGG1
E9PUU8	UniRef90_Q80ZA4
Q8R464	UniRef90_Q8R464
Q9Z1P6	UniRef90_Q9Z1P6
F1S533	UniRef90_A0A4X1TZZ3
Q8VED9	UniRef90_Q8VED9
A0A2R8Y5C4	UniRef90_A0A2R8Y5C4
E5RHZ6	UniRef90_F6WTW1
K7EJM5	UniRef90_Q13148
A0A0G2K0W9	UniRef90_O14818
F1SCM9	UniRef90_P97531
A0A2R8Y6G5	UniRef90_A0A3B3IU06
Q9Y3P9	UniRef90_Q9Y3P9
P37285	UniRef90_Q07866
D6R9T5	UniRef90_Q9NX40
F6Q1B7	UniRef90_A0A4X1VV31
P21961	UniRef90_P15089
Q8TBE9	UniRef90_Q8TBE9
A0A287AE06	UniRef90_P02545
P00258	UniRef90_P00258
A0A287AQR8	UniRef90_Q148F8
A3KNA0	UniRef90_O60306
A0A287A9M8	UniRef90_A0A8D0TDM2
Q9UPN3	UniRef90_Q9UPN3
Q60936	UniRef90_Q60936
Q3UHC1	UniRef90_Q3UHC1
G3V7C6	UniRef90_G3V7C6
F1LVV3	UniRef90_Q96S59-3
Q3UE92	UniRef90_Q9NQW7
Q3UJD6	UniRef90_O94966
F2Z2C0	UniRef90_F2Z2C0
I3LCM4	UniRef90_A0A4X1W4J9
H9ME53	UniRef90_Q13061-2
P54728	UniRef90_P54728
P60520	UniRef90_P60520
P00747	UniRef90_P00747
C9JZV3	UniRef90_Q9UG63
E9PQQ5	UniRef90_A0A087WWA2
P42128	UniRef90_P42128
Q6P7Q2	UniRef90_Q9QZF2
D4A720	UniRef90_Q8BL97
A0A5G2RDA4	UniRef90_D6R9F4
Q9BZL4	UniRef90_Q9BZL4
P56379	UniRef90_P56379
H7C179	UniRef90_Q9H0E9-4
Q8R429	UniRef90_Q8R429
F1M7T6	UniRef90_A0A3Q2H087
Q8IW00	UniRef90_Q8IW00
P46779	UniRef90_P46779
P56376	UniRef90_P56376
F1SBW0	UniRef90_Q1WDP3
P05132	UniRef90_P17612
F1RYI1	UniRef90_F1RYI1
Q9NRW7	UniRef90_Q9NRW7
F1SSL4	UniRef90_Q9UG63
Q9D0C4	UniRef90_Q9D0C4
Q63563	UniRef90_Q63563
O89079	UniRef90_O89079
F5GWZ1	UniRef90_F5GWZ1
A6M931	UniRef90_Q2NL22
G3UXW9	UniRef90_Q99LD4
D4A1U1	UniRef90_Q8K0L9
Q9UKX5	UniRef90_Q9UKX5
P04157	UniRef90_P04157
D6RHU2	UniRef90_Q13423
P13598	UniRef90_P13598
Q14643	UniRef90_Q14643
Q9EPE9	UniRef90_Q9EPE9
F1S3P8	UniRef90_F1S3P8
A0A287B5G9	UniRef90_A0A8D0Z3T0
Q9P0K7	UniRef90_Q9P0K7
Q5JWQ6	UniRef90_M3W5I5
A0A5G2R3H6	UniRef90_A0A4X1VCB2
A0A0G2K6X9	UniRef90_A0A0G2K6X9
B1APF7	UniRef90_P22694
Q5XFX7	UniRef90_Q5XFX7
O75964	UniRef90_O75964
Q62839	UniRef90_Q62839
Q5SUC9	UniRef90_Q5SUC9
F1SFF8	UniRef90_F1SFF8
E7ERH4	UniRef90_Q13409
C9J8Q6	UniRef90_A0A061I555
Q15334	UniRef90_Q15334
F2Z4Y0	UniRef90_F2Z4Y0
H7BXZ6	UniRef90_Q8IXI2
Q2PFD7	UniRef90_Q2PFD7
P36860	UniRef90_P36860
Q8VDR9	UniRef90_Q8VDR9
Q9NXV6	UniRef90_Q9NXV6
E7EQE4	UniRef90_A0A2J8L9H6
Q9Z160	UniRef90_Q9Z160
F1RIP3	UniRef90_F1RIP3
A0A0G2K0B0	UniRef90_Q4VAA2
F1LPG3	UniRef90_Q6VY07
F1M386	UniRef90_Q9Y4G8
A0A286ZN85	UniRef90_A0A286ZN85
G3V1V0	UniRef90_G3V1V0
H0YJ56	UniRef90_H0YJ56
Q99JY9	UniRef90_Q99JY9
H0YK48	UniRef90_H0YK48
Q8VE80	UniRef90_Q8VE80
K7GMX1	UniRef90_K7GMX1
A0A087WXM8	UniRef90_P50895
D3ZL85	UniRef90_P53702
P25235	UniRef90_P04844
P48506	UniRef90_P48506
Q02318	UniRef90_Q02318
H0YEH1	UniRef90_H0YEH1
C9JEF1	UniRef90_Q9HCP6
A0A024R571	UniRef90_Q9H4M9
F1M949	UniRef90_A2AGT5
Q8R1Q8	UniRef90_Q8R1Q8
C9IZ93	UniRef90_A0A2I3H705
F1M6V1	UniRef90_F1M6V1
A0A0D9SFL5	UniRef90_A0A5F9ZI06
A0A0H2UHJ5	UniRef90_O88532
Q15434	UniRef90_Q15434
Q9UBT2	UniRef90_Q9UBT2
D6RER5	UniRef90_Q9NVA2
P29728	UniRef90_P29728
A0A5G2QJ54	UniRef90_F1RR62
A0A0A0MRJ6	UniRef90_P22061
A0A498WFS2	UniRef90_Q922Y1
O94826	UniRef90_O94826
Q63HN8	UniRef90_Q63HN8
F1LNV4	UniRef90_O75027-3
P62979	UniRef90_P62979
P41565	UniRef90_P41565
Q9Y4W6	UniRef90_Q9Y4W6
F1RZD0	UniRef90_Q9Y680
F1M9R3	UniRef90_F1M305
Q99J47	UniRef90_Q99J47
Q13523	UniRef90_Q13523
Q9HAV0	UniRef90_Q9HAV0
Q9NXC2	UniRef90_Q9NXC2
P47197	UniRef90_P47197
B5MD17	UniRef90_D4A3T3
P17077	UniRef90_P17077
D4A4U3	UniRef90_Q9D967
A0A287AGC0	UniRef90_A0A340Y6Y7
A0A0G2JHL0	UniRef90_A0A2I3TJC4
I3LQ38	UniRef90_I3LQ38
Q7TP08	UniRef90_P70473
Q9UGJ0	UniRef90_Q9UGJ0
F1RRK0	UniRef90_F1RRK0
Q6GTM0	UniRef90_Q64112
K7ES00	UniRef90_K7ES00
Q9Z1A5	UniRef90_Q13564-2
D3ZHA0	UniRef90_Q14315
A0A286YFE1	UniRef90_A0A0D9S621
P97697	UniRef90_P97697
Q05086	UniRef90_Q05086
O19063	UniRef90_O19063
Q64565	UniRef90_Q3UEG6
F1SQR9	UniRef90_A0A287BQG0
D0V557	UniRef90_O96008-2
F1LU48	UniRef90_F1LU48
F1LQI6	UniRef90_Q7Z7L7
Q9Z2H5	UniRef90_Q9Z2H5
A2A2A0	UniRef90_P21980
D3ZLF6	UniRef90_P57784
P82970	UniRef90_P82970
Q32Q06	UniRef90_Q9BXS5
P52293	UniRef90_P52293
C4AM86	UniRef90_Q92764
D3ZTN8	UniRef90_Q3TCJ8
B4F7A5	UniRef90_B4F7A5
D6REL8	UniRef90_P02675
Q6UWI2	UniRef90_Q6UWI2
P07934	UniRef90_P13286
Q2Q0I9	UniRef90_Q2Q0I9
A0A096LNU0	UniRef90_A0A096LNU0
P43304	UniRef90_P43304
Q9BVG9	UniRef90_Q9BVG9
Q00610	UniRef90_Q00610
F1RI50	UniRef90_A0A5G2RDB9
P42765	UniRef90_P42765
Q15653	UniRef90_Q15653
Q8N7H5	UniRef90_Q8N7H5
Q9Y6K9	UniRef90_Q9Y6K9
F1RPP0	UniRef90_A0A4X1UIN0
Q52NJ5	UniRef90_P61211
